"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Alphabet Inc Class C","ABECG.DE","ETR","127.78","127.78","127.78","--","--","127.62","127.38","128.12","127.00","+0.40","+0.31%","5,355","Feb 01, 2024","11:35:46","1.60T","297,130,000,000","12,097","5.24","26.97","1.05","-","-","Strong Buy","Buy","Strong Buy","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","0.31%","-0.87%","2.14%","55.24%","53.51%","77.57%"
"UnitedHealth Group Incorporated","UNH.TG","TG","474.00","474.00","475.00","--","--","471.00","470.50","477.50","468.50","+3.50","+0.74%","1,478","Jan 12, 2024","15:54:50","438,870,000,000","","1,193","-","22.62","-","-","-","Sell","Sell","Neutral","Neutral","Neutral","Strong Sell","Sell","Buy","0.74%","0.42%","-2.67%","-4.08%","-4.54%","67.05%"
"Dow Jones Industrial Average","US30","NYSE","37,710","37,724","37,726","--","--","37,662","37,710","37,779","37,651","+54","+0.14%","199,555,090","--","16:20:01","-","","295,944,328","-","-","-","-","-","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.14%","0.82%","6.43%","13.77%","13.51%","24.31%"
"Dow Jones Industrial Average",".DJI","NYSE","37,710.10","22,350.00","22,352.00","--","--","37,661.52","37,656.52","37,778.85","37,650.98","+53.58","+0.14%","199,555,090","--","16:20:01","-","","295,944,328","-","-","-","-","-","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.14%","0.82%","6.43%","13.77%","13.51%","24.31%"
"US Small Cap 2000","US2000","NYSE","2,056.25","2,056.05","2,056.45","--","--","2,053.20","2,058.34","2,068.65","2,050.05","-9.96","-0.48%","-","--","15:59:57","-","","-","-","-","-","-","-","Strong Buy","Neutral","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.48%","1.94%","13.99%","16.75%","16.42%","4.94%"
"US Small Cap 2000",".RUT","NYSE","2,066.21","-","-","--","--","2,063.59","2,059.19","2,071.78","2,056.37","+7.02","+0.34%","-","--","27/12","-","","-","-","-","-","-","-","","","","","","Strong Buy","Strong Buy","Strong Buy","0.34%","2.44%","14.55%","17.32%","16.98%","5.45%"
"Twitter Inc (Delisted)","TWTR.K","NYSE","53.70","53.86","53.88","--","--","53.91","53.35","54.00","53.70","+0.00","+0.00%","-","--","27/10","41,030,000,000","5,230,000,000","18,631,009","-0.142","-366.15","0.698","-","-","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.00%","-0.00%","9.19%","24.25%","1.03%","84.85%"
"Canadian Pacific Kansas City Limited","CP","NYSE","79.29","-","-","80.58","1.63%","79.63","79.60","80.07","79.15","-0.31","-0.38%","1,560,270","--","15:59:59","73,880,000,000","11,240,000,000","2,361,291","4.48","23.45","0.825","0.5757","0.72%","Strong Sell","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.38%","0.21%","11.17%","6.30%","5.15%","14.20%"
"Aon PLC","AON","NYSE","289.43","287.00","292.39","289.31","-0.04%","290.69","289.87","292.41","288.48","-0.44","-0.15%","946,144","Feb 02, 2024","16:00:00","57,950,000,000","13,130,000,000","952,986","13.27","21.89","0.927","2.46","0.85%","Strong Sell","Neutral","Neutral","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","-0.15%","0.43%","-10.14%","-3.57%","-4.60%","39.88%"
"Icici Bank Limited ADR","IBN","NYSE","24.23","24.22","24.29","24.29","0.25%","24.14","24.02","24.31","24.10","+0.20","+0.85%","3,296,877","Jan 31, 2024","16:00:00","84,820,000,000","1.31T","5,018,520","57.52","17.40","0.802","0.1721","0.72%","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.85%","0.79%","8.27%","10.69%","9.64%","66.41%"
"Atlassian Corp Plc","TEAM.O","NASDAQ","241.22","-","-","241.35","0.05%","242.97","243.06","242.97","240.23","-1.84","-0.76%","723,617","Feb 01, 2024","15:59:59","62,250,000,000","3,710,000,000","1,555,374","-1.96","-122.96","0.628","-","-","Strong Sell","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.76%","-1.55%","23.35%","87.46%","86.01%","3.46%"
